"","County","Child_Mortality","CMBIN","Severe_Housing_Issues","SHBIN","CountyPOP","WhiteBlackSeg","WhiteBlackBin","WhiteNonWhiteSeg","WhiteNonWhiteBin","Limited Access to Healthy Foods","Children in Poverty","High School Graduation","ChildPovertyRank","GradRank","FoodRank","SOL PassRate","SOL AdvPassRate","PassRank","AdvPassRank"
"91","Petersburg City","1.1939548179999999","Very High",0.25,"Very High",31827,"32","High","32","High","0.21",0.39,0.83,"Very High","Low","Low",53.2857142857143,5.03571428571429,"Very Low","Very Low"
"92","Pittsylvania","0.51884039199999998","Moderate",0.12,"Low",61676,"26","Moderate","25","Moderate","0.06",0.22,0.91,"Moderate","High","Very Low",84,19.3333333333333,"Very High","Moderate"
"93","Poquoson City","NA","NA",0.09,"Very Low",12039,"37","High","21","Moderate","0.05",0.05,0.96,"Very Low","Very High","Very Low",88.5714285714286,22.2142857142857,"Very High","Moderate"
"94","Portsmouth City","0.80788156700000002","High",0.21,"Very High",95311,"54","Very High","51","Very High","0.04",0.29,0.86,"High","Moderate","Very Low",73.3,13.1333333333333,"Moderate","Low"
"95","Powhatan","0.34996850299999999","Low",0.13,"Low",28574,"29","Moderate","18","Low","0.02",0.08,0.94,"Very Low","High","Very Low",82.1428571428571,16.1785714285714,"High","Low"
"96","Prince Edward","NA","NA",0.13,"Low",22956,"12","Low","11","Low","0.12",0.28,0.89,"High","Moderate","Low",63,9.53571428571429,"Low","Very Low"
"97","Prince George","0.39584102999999998","Low",0.13,"Low",37894,"19","Low","17","Low","0.1",0.11,0.91,"Low","High","Very Low",81.4642857142857,14.3214285714286,"High","Low"
"98","Prince William","0.38533198800000001","Low",0.16,"Moderate",456749,"34","High","27","Moderate","0.03",0.09,0.92,"Very Low","High","Very Low",81.5161290322581,20.1612903225806,"High","Moderate"
"99","Pulaski","0.35052871400000002","Low",0.09,"Very Low",34234,"16","Low","11","Low","0.06",0.21,0.95,"Moderate","High","Very Low",77.5,14.1071428571429,"High","Low"
"100","Radford City","NA","NA",0.25,"Very High",17630,"13","Low","15","Low","7.0000000000000007E-2",0.18,0.97,"Moderate","Very High","Very Low",82.1851851851852,21.5925925925926,"High","Moderate"
"101","Rappahannock","NA","NA",0.16,"Moderate",7332,"34","High","34","High","0.21",0.14,0.95,"Low","High","Low",85.0689655172414,15.8620689655172,"Very High","Low"
"102","Richmond","NA","NA",0.17,"High",223787,"12","Low","14","Low","0.02",0.23,0.95,"Moderate","High","Very Low",78.7407407407407,11.8148148148148,"High","Low"
"103","Richmond City","17.57152512","Very High",0.24,"Very High",8878,"55","Very High","52","Very High","0.08",0.35,0.75,"Very High","Very Low","Very Low",58.8709677419355,11.8064516129032,"Very Low","Low"
"104","Roanoke","0.32121741399999998","Low",0.11,"Low",99621,"33","High","23","Moderate","0.03",0.08,0.95,"Very Low","High","Very Low",85.4333333333333,20.7333333333333,"Very High","Moderate"
